Unnamed: 0,title,ingredients,directions,link,source,NER
12,Mango Basil Smoothie,"['1 mango', '240 ml coconut water', '60 g fresh basil leaves']","['Blend mango, coconut water, and basil leaves until smooth.', 'Serve chilled.']",,Generated,"['mango', 'coconut water', 'basil']"
13,Carrot Cake Waffles,"['240 g waffle mix', '120 g shredded carrots', '60 g raisins', '5 g cinnamon']","['Mix waffle batter with shredded carrots, raisins, and cinnamon.', 'Cook in a waffle iron until golden brown.', 'Top with cream cheese glaze.']",,Generated,"['waffle mix', 'carrots', 'raisins', 'cinnamon']"
14,Beet Hummus,"['1 can chickpeas', '1 roasted beet', '60 ml tahini', '60 ml lemon juice']","['Blend chickpeas, roasted beet, tahini, and lemon juice until smooth.', 'Serve with pita chips or vegetables.']",,Generated,"['chickpeas', 'beet', 'tahini', 'lemon juice']"
15,Lavender Lemonade,"['120 ml lemon juice', '60 ml lavender syrup', '480 ml sparkling water']","['Mix lemon juice, lavender syrup, and sparkling water.', 'Serve over ice.']",,Generated,"['lemon juice', 'lavender syrup', 'sparkling water']"
16,Cheese and Honey Croissant,"['2 croissants', '60 g brie cheese', '30 ml honey']","['Slice croissants and stuff with brie cheese.', 'Drizzle honey inside and warm in the oven for 5 minutes.']",,Generated,"['croissants', 'brie cheese', 'honey']"
17,Strawberry Salsa,"['240 g diced strawberries', '60 g diced red onion', '15 ml lime juice']","['Mix strawberries, red onion, and lime juice in a bowl.', 'Serve with tortilla chips or as a topping for grilled dishes.']",,Generated,"['strawberries', 'red onion', 'lime juice']"
18,Green Tea Pancakes,"['240 g pancake mix', '15 g matcha powder', '180 ml milk']","['Mix pancake batter with matcha powder and milk until smooth.', 'Cook pancakes on a griddle until golden.']",,Generated,"['pancake mix', 'matcha powder', 'milk']"
19,Sweet Corn Ice Cream,"['480 ml heavy cream', '120 g corn kernels', '60 g sugar']","['Blend corn kernels and sugar into a smooth paste.', 'Mix with heavy cream and churn in an ice cream maker.', 'Freeze before serving.']",,Generated,"['cream', 'corn kernels', 'sugar']"
20,Pineapple Jalapeño Pizza,"['1 pizza crust', '120 ml tomato sauce', '120 g pineapple chunks', '1 diced jalapeño', '240 g mozzarella cheese']","['Spread tomato sauce on pizza crust.', 'Top with pineapple, jalapeño, and mozzarella.', 'Bake at 200°C for 15 minutes.']",,Generated,"['pizza crust', 'tomato sauce', 'pineapple', 'jalapeño', 'mozzarella']"
21,Chili Chocolate Cake,"['1 box chocolate cake mix', '20 g chili powder', '80 g dark chocolate chips']","['Prepare cake mix according to package instructions.', 'Stir in chili powder and chocolate chips.', 'Bake as directed.']",,Generated,"['chocolate cake mix', 'chili powder', 'dark chocolate chips']"
22,Bacon Maple Donuts,"['1 can biscuit dough', '60 ml maple syrup', '60 g crumbled bacon']","['Shape biscuit dough into donuts.', 'Fry in oil until golden brown.', 'Drizzle with maple syrup and sprinkle with bacon.']",,Generated,"['biscuit dough', 'maple syrup', 'bacon']"
23,Green Pea Pancakes,"['150 g green peas', '60 g flour', '1 egg', '60 ml milk']","['Blend peas, flour, egg, and milk until smooth.', 'Cook pancakes on a griddle until set.', 'Serve with sour cream.']",,Generated,"['green peas', 'flour', 'egg', 'milk']"
24,Rosemary Lemonade,"['120 ml lemon juice', '60 ml rosemary syrup', '480 ml sparkling water']","['Mix lemon juice, rosemary syrup, and sparkling water.', 'Serve over ice.']",,Generated,"['lemon juice', 'rosemary syrup', 'sparkling water']"
25,Spaghetti Ice Cream,"['480 ml vanilla ice cream', '120 ml strawberry sauce', '30 g grated white chocolate']","['Press vanilla ice cream through a potato ricer to resemble spaghetti.', 'Top with strawberry sauce and grated white chocolate.']",,Generated,"['vanilla ice cream', 'strawberry sauce', 'white chocolate']"
26,Beetroot Smoothie,"['1 cooked beetroot', '240 ml orange juice', '120 ml yogurt']","['Blend beetroot, orange juice, and yogurt until smooth.', 'Serve chilled.']",,Generated,"['beetroot', 'orange juice', 'yogurt']"
27,Miso Caramel Sauce,"['100 g sugar', '60 ml water', '15 g miso paste', '60 ml cream']","['Cook sugar and water until golden.', 'Stir in miso paste and cream until smooth.', 'Cool and use as a topping.']",,Generated,"['sugar', 'water', 'miso paste', 'cream']"
28,Sweet Potato Waffles,"['240 g mashed sweet potato', '120 g flour', '1 egg', '120 ml milk']","['Mix mashed sweet potato, flour, egg, and milk until smooth.', 'Cook in a waffle iron until golden.']",,Generated,"['sweet potato', 'flour', 'egg', 'milk']"
29,Carrot Ginger Soup,"['4 carrots', '15 g grated ginger', '480 ml vegetable stock', '60 ml cream']","['Cook carrots and ginger in vegetable stock until tender.', 'Blend until smooth and stir in cream.', 'Serve warm.']",,Generated,"['carrots', 'ginger', 'vegetable stock', 'cream']"
30,Peanut Butter Pizza,"['1 pizza crust', '60 ml peanut butter', '80 g chocolate chips', '60 g sliced bananas']","['Spread peanut butter on pizza crust.', 'Top with chocolate chips and bananas.', 'Bake at 200°C for 10 minutes.']",,Generated,"['pizza crust', 'peanut butter', 'chocolate chips', 'bananas']"
31,Garlic Ice Cream,"['480 ml heavy cream', '60 g sugar', '2 cloves roasted garlic']","['Blend roasted garlic with cream and sugar.', 'Churn in an ice cream maker and freeze.']",,Generated,"['cream', 'sugar', 'garlic']"
32,Avocado Cheesecake,"['1 avocado', '240 g cream cheese', '100 g sugar', '1 pre-made crust']","['Blend avocado, cream cheese, and sugar until smooth.', 'Pour into crust and chill for 2 hours.']",,Generated,"['avocado', 'cream cheese', 'sugar', 'crust']"
33,Lavender Shortbread Cookies,"['240 g flour', '120 g butter', '60 g sugar', '15 g dried lavender']","['Mix flour, butter, sugar, and lavender until dough forms.', 'Shape into cookies and bake at 180°C for 12 minutes.']",,Generated,"['flour', 'butter', 'sugar', 'lavender']"
34,Coconut Curry Ice Cream,"['240 ml coconut milk', '15 g curry powder', '60 g sugar']","['Mix coconut milk, curry powder, and sugar.', 'Churn in an ice cream maker and freeze.']",,Generated,"['coconut milk', 'curry powder', 'sugar']"
35,Turmeric Latte Ice Cream,"['240 ml coconut milk', '5 g turmeric', '60 ml honey', '2.5 g cinnamon']","['Mix coconut milk, turmeric, honey, and cinnamon.', 'Churn in an ice cream maker and freeze.']",,Generated,"['coconut milk', 'turmeric', 'honey', 'cinnamon']"
36,Savory Herb Cheesecake,"['240 g cream cheese', '120 g sour cream', '60 g chopped herbs', '1 pre-made crust']","['Mix cream cheese, sour cream, and herbs until smooth.', 'Pour into crust and bake at 180°C for 25 minutes.']",,Generated,"['cream cheese', 'sour cream', 'herbs', 'crust']"
37,Gingerbread Pancakes,"['240 g pancake mix', '2.5 g ginger', '2.5 g cinnamon', '60 ml molasses']","['Mix pancake batter with ginger, cinnamon, and molasses.', 'Cook pancakes on a griddle until golden brown.']",,Generated,"['pancake mix', 'ginger', 'cinnamon', 'molasses']"
38,Mango Avocado Salsa,"['1 diced mango', '1 diced avocado', '15 ml lime juice', '60 ml diced red onion']","['Mix mango, avocado, lime juice, and red onion.', 'Serve with chips or as a topping for grilled fish.']",,Generated,"['mango', 'avocado', 'lime juice', 'red onion']"
39,Chocolate Zucchini Bread,"['240 g shredded zucchini', '50 g cocoa powder', '240 g flour', '100 g sugar']","['Mix zucchini, cocoa powder, flour, and sugar into a batter.', 'Bake at 180°C for 40 minutes.']",,Generated,"['zucchini', 'cocoa powder', 'flour', 'sugar']"
40,Curry Mango Smoothie,"['1 ripe mango', '240 ml coconut milk', '2 g curry powder']","['Blend mango, coconut milk, and curry powder until smooth.', 'Serve chilled.']",,Generated,"['mango', 'coconut milk', 'curry powder']"
41,Sweet Potato Pie Smoothie,"['1 baked sweet potato', '240 ml milk', '2 g cinnamon', '15 ml maple syrup']","['Blend sweet potato, milk, cinnamon, and maple syrup until smooth.', 'Serve cold or warm.']",,Generated,"['sweet potato', 'milk', 'cinnamon', 'maple syrup']"
42,Rose Petal Jelly,"['480 ml rose petals', '240 g sugar', '120 ml water', '5 ml lemon juice']","['Boil rose petals, sugar, water, and lemon juice.', 'Simmer until thickened and strain before cooling.']",,Generated,"['rose petals', 'sugar', 'water', 'lemon juice']"
43,Cranberry Pistachio Cookies,"['240 g flour', '60 g dried cranberries', '30 g chopped pistachios', '100 g sugar']","['Mix flour, cranberries, pistachios, and sugar into a dough.', 'Shape into cookies and bake at 180°C for 12 minutes.']",,Generated,"['flour', 'cranberries', 'pistachios', 'sugar']"
44,Pineapple Curry Pizza,"['1 pizza crust', '120 ml curry sauce', '120 g pineapple chunks', '240 g mozzarella cheese']","['Spread curry sauce on pizza crust.', 'Top with pineapple chunks and mozzarella cheese.', 'Bake at 200°C for 15 minutes.']",,Generated,"['pizza crust', 'curry sauce', 'pineapple', 'mozzarella']"
45,Spinach Feta Waffles,"['240 g waffle mix', '120 g chopped spinach', '60 g crumbled feta']","['Mix waffle batter with spinach and feta.', 'Cook in a waffle iron until golden.']",,Generated,"['waffle mix', 'spinach', 'feta']"
46,Ginger Lemonade,"['120 ml lemon juice', '15 g grated ginger', '480 ml sparkling water', '60 g honey']","['Mix lemon juice, grated ginger, sparkling water, and honey.', 'Serve over ice.']",,Generated,"['lemon juice', 'ginger', 'sparkling water', 'honey']"
47,Chocolate Avocado Mousse,"['2 ripe avocados', '50 g cocoa powder', '50 g honey']","['Blend avocados, cocoa powder, and honey until smooth.', 'Chill before serving.']",,Generated,"['avocados', 'cocoa powder', 'honey']"
48,Chili Lime Popcorn,"['120 g popcorn kernels', '5 g chili powder', '15 g lime zest', '60 g melted butter']","['Pop popcorn kernels.', 'Toss with chili powder, lime zest, and melted butter.', 'Serve warm.']",,Generated,"['popcorn', 'chili powder', 'lime zest', 'butter']"
49,Lavender Lemon Cookies,"['240 g flour', '120 g butter', '60 g sugar', '5 g dried lavender', '5 g lemon zest']","['Mix flour, butter, sugar, lavender, and lemon zest into a dough.', 'Shape into cookies and bake at 180°C for 12 minutes.']",,Generated,"['flour', 'butter', 'sugar', 'lavender', 'lemon zest']"
50,Spaghetti Tacos,"['450 g ground beef', '35 g taco seasoning mix', '450 g spaghetti', '737 g spaghetti sauce', '12 taco shells', '240 g shredded cheddar cheese', '240 g shredded lettuce', '240 g diced tomatoes']","['In a large skillet, cook ground beef over medium heat until browned; drain excess fat.', 'Stir in taco seasoning mix and prepare according to package directions.', 'Meanwhile, cook spaghetti according to package directions; drain.', 'Stir spaghetti sauce into cooked spaghetti.', 'Fill each taco shell with a layer of the meat mixture, then a layer of spaghetti with sauce.', 'Top with shredded cheddar cheese, lettuce, and diced tomatoes.', 'Serve immediately.']",https://www.food.com/recipe/spaghetti-tacos-from-icarly-453342,Garhered,"['ground beef', 'taco seasoning mix', 'spaghetti', 'spaghetti sauce', 'taco shells', 'cheddar cheese', 'lettuce', 'tomatoes']"
51,Cucumber Mint Sorbet,"['500 g cucumber', '100 g sugar', '250 ml water', '10 g mint leaves']","['Peel and chop cucumber.', 'Blend cucumber with sugar, water, and mint leaves.', 'Churn in an ice cream maker and freeze until firm.']",,Generated,"['cucumber', 'sugar', 'water', 'mint leaves']"
52,Spicy Mango Salad,"['2 ripe mangoes', '5 g chili flakes', '15 ml lime juice', '10 g chopped cilantro']","['Peel and slice mangoes.', 'Toss with chili flakes, lime juice, and chopped cilantro.', 'Serve chilled.']",,Generated,"['mangoes', 'chili flakes', 'lime juice', 'cilantro']"
53,Pumpkin Seed Pesto,"['100 g pumpkin seeds', '50 g Parmesan cheese', '150 ml olive oil', '2 cloves garlic']","['Toast pumpkin seeds until golden.', 'Blend with Parmesan, olive oil, and garlic until smooth.', 'Serve as a spread or pasta sauce.']",,Generated,"['pumpkin seeds', 'Parmesan cheese', 'olive oil', 'garlic']"
54,Avocado Lime Mousse,"['2 ripe avocados', '50 ml lime juice', '30 ml honey', '200 ml whipped cream']","['Blend avocados, lime juice, and honey until smooth.', 'Fold in whipped cream and chill before serving.']",,Generated,"['avocados', 'lime juice', 'honey', 'whipped cream']"
55,Roasted Beet Hummus,"['200 g roasted beets', '400 g canned chickpeas', '50 ml olive oil', '30 ml lemon juice']","['Blend roasted beets, chickpeas, olive oil, and lemon juice until smooth.', 'Serve with pita bread or vegetables.']",,Generated,"['beets', 'chickpeas', 'olive oil', 'lemon juice']"
56,Sweet Potato Gnocchi,"['500 g sweet potatoes', '150 g flour', '1 egg', '5 g salt']","['Mash sweet potatoes and mix with flour, egg, and salt to form a dough.', 'Shape into gnocchi and boil until they float.', 'Serve with your favorite sauce.']",,Generated,"['sweet potatoes', 'flour', 'egg', 'salt']"
57,Coconut Rice Pudding,"['200 g rice', '500 ml coconut milk', '50 g sugar', '10 g shredded coconut']","['Cook rice in coconut milk with sugar until soft.', 'Top with shredded coconut and serve warm or chilled.']",,Generated,"['rice', 'coconut milk', 'sugar', 'shredded coconut']"
58,Herb-Infused Lemonade,"['100 ml lemon juice', '500 ml water', '30 ml honey', '10 g fresh thyme']","['Mix lemon juice, water, and honey.', 'Add fresh thyme and chill before serving.']",,Generated,"['lemon juice', 'water', 'honey', 'thyme']"
59,Peanut Butter Banana Smoothie,"['2 bananas', '30 g peanut butter', '300 ml milk', '5 g cocoa powder']","['Blend bananas, peanut butter, milk, and cocoa powder until smooth.', 'Serve immediately.']",,Generated,"['bananas', 'peanut butter', 'milk', 'cocoa powder']"
60,Carrot Ginger Dressing,"['200 g carrots', '50 ml olive oil', '20 ml rice vinegar', '10 g grated ginger']","['Blend carrots, olive oil, rice vinegar, and ginger until smooth.', 'Use as a dressing for salads.']",,Generated,"['carrots', 'olive oil', 'rice vinegar', 'ginger']"
61,Spinach Ricotta Crepes,"['150 g spinach', '200 g ricotta cheese', '3 eggs', '200 ml milk']","['Prepare crepe batter with eggs and milk.', 'Cook crepes and fill with spinach and ricotta mixture.', 'Fold and serve warm.']",,Generated,"['spinach', 'ricotta cheese', 'eggs', 'milk']"
62,Chocolate Chili Bark,"['200 g dark chocolate', '10 g chili flakes', '20 g crushed nuts']","['Melt chocolate and mix in chili flakes and crushed nuts.', 'Spread on a baking sheet and cool until set.', 'Break into pieces and serve.']",,Generated,"['dark chocolate', 'chili flakes', 'nuts']"
63,Rosemary Garlic Focaccia,"['500 g flour', '10 g yeast', '300 ml water', '10 g chopped rosemary', '5 g minced garlic']","['Mix flour, yeast, water, rosemary, and garlic into a dough.', 'Let rise, then bake at 200°C for 25 minutes.']",,Generated,"['flour', 'yeast', 'water', 'rosemary', 'garlic']"
64,Lavender Honey Ice Cream,"['500 ml milk', '250 ml cream', '30 ml honey', '5 g dried lavender']","['Heat milk and cream with honey and lavender.', 'Churn in an ice cream maker and freeze until firm.']",,Generated,"['milk', 'cream', 'honey', 'lavender']"
65,Chili Lime Popcorn,"['50 g popcorn kernels', '5 g chili powder', '10 ml lime juice', '10 g melted butter']","['Pop kernels and toss with chili powder, lime juice, and melted butter.', 'Serve warm.']",,Generated,"['popcorn kernels', 'chili powder', 'lime juice', 'butter']"
66,Zucchini Fritters,"['500 g zucchini', '100 g flour', '1 egg', '5 g salt']","['Grate zucchini and squeeze out excess water.', 'Mix with flour, egg, and salt to form a batter.', 'Fry spoonfuls in hot oil until golden.']",,Generated,"['zucchini', 'flour', 'egg', 'salt']"
67,Lemon Thyme Roast Potatoes,"['1 kg potatoes', '50 ml olive oil', '10 g fresh thyme', '5 g lemon zest']","['Cut potatoes into wedges.', 'Toss with olive oil, thyme, and lemon zest.', 'Roast at 200°C for 30 minutes until crispy.']",,Generated,"['potatoes', 'olive oil', 'thyme', 'lemon zest']"
68,Spicy Lentil Soup,"['200 g red lentils', '1 liter vegetable stock', '10 g curry powder', '200 g diced tomatoes']","['Combine lentils, vegetable stock, curry powder, and diced tomatoes in a pot.', 'Simmer for 20 minutes until lentils are soft.', 'Blend partially for a creamy texture.']",,Generated,"['lentils', 'vegetable stock', 'curry powder', 'diced tomatoes']"
69,Coconut Lime Panna Cotta,"['400 ml coconut milk', '50 ml lime juice', '30 g sugar', '10 g gelatin']","['Heat coconut milk with sugar until dissolved.', 'Add lime juice and gelatin, stirring until smooth.', 'Pour into molds and chill until set.']",,Generated,"['coconut milk', 'lime juice', 'sugar', 'gelatin']"
70,Spinach Artichoke Dip,"['200 g spinach', '200 g artichoke hearts', '100 g cream cheese', '50 g Parmesan cheese']","['Blend spinach, artichoke hearts, cream cheese, and Parmesan until smooth.', 'Bake at 180°C for 15 minutes until bubbly.', 'Serve with crackers or bread.']",,Generated,"['spinach', 'artichoke hearts', 'cream cheese', 'Parmesan']"
71,Peach Basil Salad,"['4 peaches', '50 g fresh basil leaves', '30 ml balsamic vinegar', '10 g honey']","['Slice peaches and toss with basil leaves.', 'Drizzle with balsamic vinegar and honey.', 'Serve immediately.']",,Generated,"['peaches', 'basil leaves', 'balsamic vinegar', 'honey']"
72,Quinoa Stuffed Bell Peppers,"['4 bell peppers', '200 g cooked quinoa', '100 g black beans', '50 g shredded cheese']","['Cut tops off bell peppers and remove seeds.', 'Stuff with quinoa, black beans, and cheese.', 'Bake at 180°C for 25 minutes.']",,Generated,"['bell peppers', 'quinoa', 'black beans', 'cheese']"
73,Mango Chia Pudding,"['1 ripe mango', '200 ml coconut milk', '30 g chia seeds', '10 g honey']","['Blend mango and coconut milk until smooth.', 'Stir in chia seeds and honey.', 'Chill for 4 hours before serving.']",,Generated,"['mango', 'coconut milk', 'chia seeds', 'honey']"
74,Savory Cheese Scones,"['200 g flour', '50 g butter', '100 g grated cheese', '150 ml milk']","['Mix flour and butter until crumbly.', 'Stir in cheese and milk to form a dough.', 'Shape into scones and bake at 200°C for 12 minutes.']",,Generated,"['flour', 'butter', 'cheese', 'milk']"
75,Chocolate Espresso Mousse,"['200 g dark chocolate', '100 ml espresso', '200 ml whipped cream']","['Melt chocolate with espresso.', 'Fold in whipped cream and chill before serving.']",,Generated,"['dark chocolate', 'espresso', 'whipped cream']"
76,Turmeric Cauliflower Rice,"['500 g cauliflower', '5 g turmeric', '30 ml olive oil']","['Grate cauliflower to resemble rice.', 'Sauté with turmeric and olive oil until tender.', 'Serve as a side dish.']",,Generated,"['cauliflower', 'turmeric', 'olive oil']"
77,Blueberry Lemon Muffins,"['200 g flour', '100 g sugar', '100 g blueberries', '50 ml lemon juice', '1 egg']","['Mix flour, sugar, and blueberries.', 'Stir in lemon juice and egg to form a batter.', 'Bake at 180°C for 20 minutes.']",,Generated,"['flour', 'sugar', 'blueberries', 'lemon juice', 'egg']"
78,Honey Roasted Carrots,"['500 g carrots', '30 ml honey', '20 ml olive oil']","['Toss carrots with honey and olive oil.', 'Roast at 200°C for 25 minutes until caramelized.']",,Generated,"['carrots', 'honey', 'olive oil']"
79,Pumpkin Spice Energy Balls,"['200 g oats', '100 g pumpkin puree', '50 g peanut butter', '30 g honey']","['Mix oats, pumpkin puree, peanut butter, and honey.', 'Roll into balls and chill before serving.']",,Generated,"['oats', 'pumpkin puree', 'peanut butter', 'honey']"
80,Cucumber Dill Salad,"['2 cucumbers', '100 g Greek yogurt', '10 g fresh dill', '5 ml lemon juice']","['Slice cucumbers and toss with yogurt, dill, and lemon juice.', 'Serve chilled.']",,Generated,"['cucumbers', 'Greek yogurt', 'dill', 'lemon juice']"
81,Spicy Peanut Noodles,"['200 g noodles', '50 g peanut butter', '10 ml soy sauce', '5 g chili flakes']","['Cook noodles and toss with peanut butter, soy sauce, and chili flakes.', 'Serve warm.']",,Generated,"['noodles', 'peanut butter', 'soy sauce', 'chili flakes']"
82,Lemon Garlic Green Beans,"['500 g green beans', '20 ml olive oil', '5 g minced garlic', '5 ml lemon juice']","['Sauté green beans with olive oil and garlic.', 'Drizzle with lemon juice before serving.']",,Generated,"['green beans', 'olive oil', 'garlic', 'lemon juice']"
83,Berry Chia Jam,"['200 g mixed berries', '30 g chia seeds', '30 g honey']","['Cook berries and honey until soft.', 'Stir in chia seeds and cool until thickened.']",,Generated,"['berries', 'chia seeds', 'honey']"
84,Sweet Corn Fritters,"['200 g corn kernels', '100 g flour', '1 egg', '30 ml milk']","['Mix corn, flour, egg, and milk into a batter.', 'Fry spoonfuls in hot oil until golden.']",,Generated,"['corn kernels', 'flour', 'egg', 'milk']"
85,Pineapple Coconut Smoothie,"['200 g pineapple', '200 ml coconut milk', '10 g shredded coconut']","['Blend pineapple, coconut milk, and shredded coconut until smooth.', 'Serve immediately.']",,Generated,"['pineapple', 'coconut milk', 'shredded coconut']"
86,Grilled Halloumi Salad,"['200 g halloumi cheese', '100 g mixed greens', '50 g cherry tomatoes', '20 ml balsamic glaze']","['Slice halloumi cheese and grill until golden.', 'Toss mixed greens with cherry tomatoes.', 'Top with grilled halloumi and drizzle with balsamic glaze.']",,Generated,"['halloumi cheese', 'mixed greens', 'cherry tomatoes', 'balsamic glaze']"
87,Stuffed Portobello Mushrooms,"['4 portobello mushrooms', '100 g goat cheese', '50 g spinach', '10 g breadcrumbs']","['Remove stems from mushrooms.', 'Mix goat cheese, spinach, and breadcrumbs.', 'Fill mushrooms with the mixture and bake at 180°C for 20 minutes.']",,Generated,"['mushrooms', 'goat cheese', 'spinach', 'breadcrumbs']"
88,Pineapple Fried Rice,"['200 g cooked rice', '100 g pineapple chunks', '50 g peas', '20 ml soy sauce']","['Heat a pan and stir-fry pineapple chunks and peas.', 'Add cooked rice and soy sauce.', 'Stir-fry for 5 minutes and serve.']",,Generated,"['rice', 'pineapple', 'peas', 'soy sauce']"
89,Orange Sesame Tofu,"['200 g tofu', '50 ml orange juice', '10 g sesame seeds', '20 ml soy sauce']","['Marinate tofu in orange juice and soy sauce for 30 minutes.', 'Pan-fry tofu until crispy and sprinkle with sesame seeds.', 'Serve warm.']",,Generated,"['tofu', 'orange juice', 'sesame seeds', 'soy sauce']"
90,Lemon Herb Quinoa,"['200 g quinoa', '10 g parsley', '5 g mint', '10 ml lemon juice']","['Cook quinoa according to package instructions.', 'Toss with parsley, mint, and lemon juice.', 'Serve as a side dish.']",,Generated,"['quinoa', 'parsley', 'mint', 'lemon juice']"
91,Broccoli Cheddar Soup,"['500 g broccoli', '200 g cheddar cheese', '1 liter vegetable stock', '200 ml cream']","['Boil broccoli in vegetable stock until tender.', 'Blend with cream and stir in cheddar cheese.', 'Simmer until cheese is melted.']",,Generated,"['broccoli', 'cheddar cheese', 'vegetable stock', 'cream']"
92,Sweet Potato Fries,"['500 g sweet potatoes', '30 ml olive oil', '5 g paprika', '5 g salt']","['Cut sweet potatoes into thin strips.', 'Toss with olive oil, paprika, and salt.', 'Bake at 200°C for 25 minutes.']",,Generated,"['sweet potatoes', 'olive oil', 'paprika', 'salt']"
93,Apple Cinnamon Overnight Oats,"['100 g oats', '200 ml milk', '1 apple', '5 g cinnamon']","['Mix oats and milk in a jar.', 'Add grated apple and sprinkle with cinnamon.', 'Chill overnight before serving.']",,Generated,"['oats', 'milk', 'apple', 'cinnamon']"
94,Roasted Cauliflower Steaks,"['1 head cauliflower', '30 ml olive oil', '5 g smoked paprika', '5 g garlic powder']","['Slice cauliflower into thick steaks.', 'Brush with olive oil and sprinkle with smoked paprika and garlic powder.', 'Roast at 200°C for 25 minutes.']",,Generated,"['cauliflower', 'olive oil', 'paprika', 'garlic']"
95,Strawberry Basil Lemonade,"['200 g strawberries', '50 g basil leaves', '100 ml lemon juice', '500 ml sparkling water']","['Blend strawberries and basil leaves.', 'Mix with lemon juice and sparkling water.', 'Serve over ice.']",,Generated,"['strawberries', 'basil', 'lemon juice', 'sparkling water']"
96,Spinach Artichoke Pasta,"['200 g pasta', '100 g spinach', '100 g artichoke hearts', '50 ml cream']","['Cook pasta according to package instructions.', 'Sauté spinach and artichoke hearts.', 'Stir in cream and toss with cooked pasta.']",,Generated,"['pasta', 'spinach', 'artichoke', 'cream']"
97,Miso Glazed Eggplant,"['2 eggplants', '50 ml miso paste', '30 ml soy sauce', '20 ml honey']","['Slice eggplants and brush with miso, soy sauce, and honey mixture.', 'Grill until caramelized and serve.']",,Generated,"['eggplants', 'miso paste', 'soy sauce', 'honey']"
98,Chocolate Zucchini Cake,"['200 g zucchini', '200 g flour', '100 g sugar', '50 g cocoa powder']","['Grate zucchini and mix with flour, sugar, and cocoa powder.', 'Bake at 180°C for 30 minutes.', 'Cool before serving.']",,Generated,"['zucchini', 'flour', 'sugar', 'cocoa powder']"
99,Peanut Butter Energy Bites,"['200 g oats', '50 g peanut butter', '50 g honey', '30 g dark chocolate chips']","['Mix oats, peanut butter, and honey.', 'Fold in chocolate chips and roll into balls.', 'Chill before serving.']",,Generated,"['oats', 'peanut butter', 'honey', 'chocolate chips']"
